name,adsorption
kixxun_P1,1.3730363493
koccuc_P1,4.0838715982
kodpup02_P1,1.3293704255
kogsoq_P1,3.5980045404
kohyis_P1,1.4430739895
kojcui_P1,0.7853122848
komdat_P1_charged,3.1288225002
komgup_P1,2.7887021077
kornai_P1,0.8765999722
koskio_P1,4.3252950486
koszuq_P1,6.773303911
kotbed_P1,6.775570694
kubqaa_P1_charged,2.4916244322
kudlur_P1_H,0.8691811931
kujnuz_P1,2.9925052464
kukpox_P1_charged_H,1.3006127891
kukwar_P1_H,2.8255438832
kulzey_P1,0.9035298354
kunset_P1_charged,2.9799127935
kutnuk_P1,10.945788176
kuvyad_P1_charged,4.7910494067
labpub_P1_charged,0.471171767
labrue_P1_charged_H,2.1976023606
labzia_P1,5.4603086666
lacnub_P1,4.7544165056
ladqoz_P1_H,0.7812596031
lagcon_P1_charged,3.8283359337
laqzov_P1,3.188488098
larvim_P1,3.6360996881
lawgew_P1,13.00566034
laxmop_P1,0.0
lecfac_P1,8.9589316393
lecfuw_P1_charged,1.2993782509
lemvop_P1,0.9135592947
leptae_P1,3.714382614
levfaw_P1,19.167185679
lezzex_P1,1.2758627279
lickal_P1_charged,0.0017366185
lihfak_P1,15.1829874551
lijfuh_P1,2.9752789562
likcoy_P1,1.1299154372
likvin_P1_charged,2.8946898282
likwou_P1,2.5078755794
lirvak_P1_charged_H,2.6146772484
lobbow_P1,14.1808516958
lobbuc_P1,14.1778238589
lodpol_P1,3.3033051536
lojlaz_P1,2.5245155926
lomfic_P1,0.7982242022
loqlej_P1_H,6.0699145912
lorrob_P1_H,0.7480152996
lovvav_P1_charged,1.5765907029
lugfol_P1,7.310954112
lulvof_P1,1.4793315971
lupvoj_P1_charged_H,5.1714549946
lurdou_P1_charged,6.6299892288
lushir_P1,2.1770874276
lusyef_P1,8.1657034891
luwmex_P1,0.0728966429
luwmib_P1,0.5827318844
maflud_P1,4.535045097
mafmis_P1,4.5415209695
mahceg_P1,13.5615633899
mahcoq_P1,13.2606454881
makgaj_P1_charged,2.8317138381
malyop_P1_charged_H,3.7801668387
maqbeo_P1,2.8429537855
marnol01_P1,1.9408111194
matbam_P1,3.0276661449
matwuc_P1_charged,5.5714285779
mawvak_P1,1.3721982938
merled_P1_H,11.9276415783
mibqar10_P1,13.2900994993
mickan_P1,5.0898297224
mifrok_P1_charged,1.0497514086
mifvee_P1_charged,0.3743070757
mihhiu_P1,1.2607809399
mimsos_P1,4.2917099905
minlon01_P1,4.5930502347
minvua02_P1_H,3.5358721183
minvua_P1_H,2.6858534967
miqveq_P1,3.1171554063
mirkik_P1_charged,3.3049614348
miszew_P1,3.4770165304
mitzoh_P1_charged,3.0270479178
mitzun_P1_charged,3.0126870278
mivwog_P1,2.6160439245
mixzok_P1_charged_H,16.1767735904
mockun_P1,1.1096745583
mocvei_P1,1.1399642983
mohmee14_P1,4.602455278
mojnac_P1_H,1.1173542471
mojpot01_P1,4.5463099505
mojpot05_P1,4.6545964024
mojpot07_P1,4.4722970558
mojpot15_P1,4.6382077093
mojpot23_P1,4.5734226433
